episode,timestamp,eps,alphaCap,total_reward,win,steps,episode_duration_s,q_max,q_mean
98,2026-05-12T21:06:32.972,0.573050,0.000997,-1.600000,0,1,2.875,1.735296,0.030019
99,2026-05-12T21:06:36.103,0.572775,0.000997,-1.600000,0,1,3.083,1.735296,0.030019
100,2026-05-12T21:06:39.254,0.572500,0.000997,-1.600000,0,1,3.080,1.735296,0.030019
101,2026-05-12T21:06:42.201,0.572225,0.000997,-1.600000,0,1,2.895,1.735296,0.030019
102,2026-05-12T21:06:45.372,0.571950,0.000997,-1.600000,0,1,3.116,1.735296,0.030019
103,2026-05-12T21:06:48.483,0.571675,0.000997,-1.600000,0,1,3.071,1.735296,0.030019
104,2026-05-12T21:06:51.612,0.571400,0.000997,-1.600000,0,1,3.082,1.735296,0.030019
105,2026-05-12T21:06:54.701,0.571125,0.000997,-1.600000,0,1,3.048,1.735296,0.030019
106,2026-05-12T21:06:57.850,0.570850,0.000997,-1.600000,0,1,3.099,1.735296,0.030019
107,2026-05-12T21:07:01.084,0.570575,0.000997,-1.600000,0,1,3.196,1.735296,0.030019
108,2026-05-12T21:07:04.215,0.570300,0.000997,-1.600000,0,1,3.091,1.735296,0.030019
109,2026-05-12T21:07:07.110,0.570025,0.000997,-1.600000,0,1,2.850,1.735296,0.030019
110,2026-05-12T21:07:10.017,0.569750,0.000997,-1.600000,0,1,2.864,1.735296,0.030019
111,2026-05-12T21:07:12.967,0.569475,0.000997,-1.600000,0,1,2.900,1.735296,0.030019
112,2026-05-12T21:07:15.885,0.569200,0.000997,-1.600000,0,1,2.873,1.735296,0.030019
113,2026-05-12T21:07:19.016,0.568925,0.000997,-1.600000,0,1,3.083,1.735296,0.030019
114,2026-05-12T21:07:22.096,0.568650,0.000997,-1.600000,0,1,3.032,1.735296,0.030019
115,2026-05-12T21:07:25.572,0.568375,0.000997,-1.600000,0,1,3.431,1.735296,0.030019
116,2026-05-12T21:07:28.708,0.568100,0.000997,-1.600000,0,1,3.092,1.735296,0.030019
117,2026-05-12T21:07:31.869,0.567825,0.000997,-1.600000,0,1,3.116,1.735296,0.030019
118,2026-05-12T21:07:35.187,0.567550,0.000997,-1.600000,0,1,3.280,1.735296,0.030019
119,2026-05-12T21:07:38.309,0.567275,0.000997,-1.600000,0,1,3.075,1.735296,0.030019
120,2026-05-12T21:07:41.420,0.567000,0.000997,-1.600000,0,1,3.071,1.735296,0.030019
121,2026-05-12T21:07:44.555,0.566725,0.000997,-1.600000,0,1,3.095,1.735296,0.030019
122,2026-05-12T21:07:47.650,0.566450,0.000997,-1.600000,0,1,3.042,1.735296,0.030019
123,2026-05-12T21:07:50.603,0.566175,0.000997,-1.600000,0,1,2.911,1.735296,0.030019
124,2026-05-12T21:07:53.721,0.565900,0.000997,-1.600000,0,1,3.079,1.735296,0.030019
125,2026-05-12T21:07:56.830,0.565625,0.000997,-1.600000,0,1,3.059,1.735296,0.030019
126,2026-05-12T21:07:59.952,0.565350,0.000997,-1.600000,0,1,3.082,1.735296,0.030019
127,2026-05-12T21:08:03.105,0.565075,0.000997,-1.600000,0,1,3.105,1.735296,0.030019
128,2026-05-12T21:08:06.031,0.564800,0.000997,-1.600000,0,1,2.879,1.735296,0.030019
129,2026-05-12T21:08:09.104,0.564525,0.000997,-1.600000,0,1,3.027,1.735296,0.030019
130,2026-05-12T21:08:12.304,0.564250,0.000997,-1.600000,0,1,3.161,1.735296,0.030019
131,2026-05-12T21:08:15.438,0.563975,0.000997,-1.600000,0,1,3.086,1.735296,0.030019
132,2026-05-12T21:08:18.373,0.563700,0.000996,-1.600000,0,1,2.892,1.735296,0.030019
133,2026-05-12T21:08:21.493,0.563425,0.000996,-2.000000,0,1,3.072,1.735296,0.030019
134,2026-05-12T21:08:24.393,0.563150,0.000996,-1.600000,0,1,2.847,1.735296,0.030019
135,2026-05-12T21:08:27.616,0.562875,0.000996,-2.000000,0,1,3.180,1.735296,0.030019
136,2026-05-12T21:08:30.505,0.562600,0.000996,-1.600000,0,1,2.844,1.735296,0.030019
137,2026-05-12T21:08:33.420,0.562325,0.000996,-1.600000,0,1,2.873,1.735296,0.030019
138,2026-05-12T21:08:36.439,0.562050,0.000996,-1.600000,0,1,2.966,1.735296,0.030019
139,2026-05-12T21:08:39.521,0.561775,0.000996,-1.600000,0,1,3.036,1.735296,0.030019
140,2026-05-12T21:08:42.671,0.561500,0.000996,-1.600000,0,1,3.102,1.735296,0.030019
141,2026-05-12T21:08:45.772,0.561225,0.000996,-1.600000,0,1,3.052,1.735296,0.030019
142,2026-05-12T21:08:48.886,0.560950,0.000996,-1.600000,0,1,3.074,1.735296,0.030019
143,2026-05-12T21:08:51.988,0.560675,0.000996,-1.600000,0,1,3.054,1.735296,0.030019
144,2026-05-12T21:08:54.999,0.560400,0.000996,-1.600000,0,1,2.956,1.735296,0.030019
145,2026-05-12T21:08:58.053,0.560125,0.000996,-2.000000,0,1,3.000,1.735296,0.030019
146,2026-05-12T21:09:01.253,0.559850,0.000996,-1.600000,0,1,3.154,1.735296,0.030019
147,2026-05-12T21:09:04.418,0.559575,0.000996,-1.600000,0,1,3.102,1.735296,0.030019
148,2026-05-12T21:09:07.390,0.559300,0.000996,-1.600000,0,1,2.925,1.735296,0.030019
149,2026-05-12T21:09:10.483,0.559025,0.000996,-1.600000,0,1,2.998,1.735296,0.030019
150,2026-05-12T21:09:13.630,0.558750,0.000996,-1.600000,0,1,3.107,1.735296,0.030019
151,2026-05-12T21:09:16.815,0.558475,0.000996,-1.600000,0,1,3.146,1.735296,0.030019
152,2026-05-12T21:09:19.770,0.558200,0.000996,-1.600000,0,1,2.909,1.735296,0.030019
153,2026-05-12T21:09:22.993,0.557925,0.000996,-1.600000,0,1,3.169,1.735296,0.030019
154,2026-05-12T21:09:26.187,0.557650,0.000996,-1.600000,0,1,3.138,1.735296,0.030019
155,2026-05-12T21:09:29.552,0.557375,0.000996,-1.600000,0,1,3.313,1.735296,0.030019
156,2026-05-12T21:09:32.681,0.557100,0.000996,-1.600000,0,1,3.080,1.735296,0.030019
