episode,timestamp,eps,alphaCap,total_reward,win,steps,episode_duration_s,q_max,q_mean
50,2026-05-16T03:09:37.566,0.797500,0.000500,-1.600000,0,1,3.191,1.489268,-0.012258
51,2026-05-16T03:09:40.745,0.797450,0.000500,-1.600000,0,1,3.098,1.489268,-0.012258
52,2026-05-16T03:09:43.884,0.797400,0.000500,-2.000000,0,1,3.075,1.489268,-0.012258
53,2026-05-16T03:09:47.168,0.797350,0.000500,-1.600000,0,1,3.207,1.489268,-0.012258
54,2026-05-16T03:09:50.285,0.797300,0.000500,-1.600000,0,1,3.049,1.489268,-0.012258
55,2026-05-16T03:09:53.532,0.797250,0.000500,-1.600000,0,1,3.193,1.489268,-0.012258
56,2026-05-16T03:09:56.545,0.797200,0.000500,-2.000000,0,1,2.957,1.489268,-0.012258
57,2026-05-16T03:09:59.504,0.797150,0.000500,-1.600000,0,1,2.903,1.489268,-0.012258
58,2026-05-16T03:10:02.636,0.797100,0.000500,-2.000000,0,1,3.072,1.489268,-0.012258
59,2026-05-16T03:10:05.930,0.797050,0.000500,-1.600000,0,1,3.216,1.489268,-0.012258
60,2026-05-16T03:10:09.069,0.797000,0.000500,-1.600000,0,1,3.069,1.489268,-0.012258
61,2026-05-16T03:10:12.199,0.796950,0.000500,-1.600000,0,1,3.060,1.489268,-0.012258
62,2026-05-16T03:10:15.420,0.796900,0.000500,-2.000000,0,1,3.158,1.489268,-0.012258
63,2026-05-16T03:10:18.587,0.796850,0.000500,-1.600000,0,1,3.083,1.489268,-0.012258
64,2026-05-16T03:10:21.760,0.796800,0.000500,-2.000000,0,1,3.105,1.489268,-0.012258
65,2026-05-16T03:10:25.022,0.796750,0.000500,-2.000000,0,1,3.189,1.489268,-0.012258
66,2026-05-16T03:10:28.219,0.796700,0.000500,-1.600000,0,1,3.115,1.489268,-0.012258
67,2026-05-16T03:10:31.232,0.796650,0.000500,-2.000000,0,1,2.952,1.489268,-0.012258
68,2026-05-16T03:10:34.618,0.796600,0.000500,-1.600000,0,1,3.320,1.489268,-0.012258
69,2026-05-16T03:10:37.752,0.796550,0.000500,-2.000000,0,1,3.074,1.489268,-0.012258
70,2026-05-16T03:10:40.935,0.796500,0.000500,-1.600000,0,1,3.092,1.489268,-0.012258
71,2026-05-16T03:10:44.086,0.796450,0.000500,-1.600000,0,1,3.066,1.489268,-0.012258
72,2026-05-16T03:10:47.299,0.796400,0.000500,-1.600000,0,1,3.135,1.489268,-0.012258
73,2026-05-16T03:10:50.560,0.796350,0.000500,-2.000000,0,1,3.198,1.489268,-0.012258
74,2026-05-16T03:10:53.823,0.796300,0.000500,-1.600000,0,1,3.197,1.489268,-0.012258
75,2026-05-16T03:10:56.964,0.796250,0.000500,-1.600000,0,1,3.079,1.489268,-0.012258
76,2026-05-16T03:11:00.234,0.796200,0.000500,-1.600000,0,1,3.206,1.489268,-0.012258
77,2026-05-16T03:11:03.452,0.796150,0.000500,-1.600000,0,1,3.159,1.489268,-0.012258
78,2026-05-16T03:11:06.601,0.796100,0.000500,-2.000000,0,1,3.078,1.489268,-0.012258
79,2026-05-16T03:11:09.862,0.796050,0.000500,-1.600000,0,1,3.205,1.489268,-0.012258
80,2026-05-16T03:11:13.145,0.796000,0.000500,-1.500000,0,1,3.199,1.489268,-0.012258
81,2026-05-16T03:11:16.279,0.795950,0.000500,-2.000000,0,1,3.078,1.489268,-0.012258
82,2026-05-16T03:11:19.432,0.795900,0.000500,-1.600000,0,1,3.092,1.489268,-0.012258
83,2026-05-16T03:11:22.472,0.795850,0.000500,-1.600000,0,1,2.971,1.489268,-0.012258
84,2026-05-16T03:11:25.742,0.795800,0.000500,-1.600000,0,1,3.214,1.489268,-0.012258
85,2026-05-16T03:11:28.915,0.795750,0.000500,-1.600000,0,1,3.107,1.489268,-0.012258
86,2026-05-16T03:11:32.010,0.795700,0.000500,-1.600000,0,1,3.029,1.489268,-0.012258
87,2026-05-16T03:11:35.286,0.795650,0.000500,-1.600000,0,1,3.219,1.489268,-0.012258
88,2026-05-16T03:11:38.452,0.795600,0.000500,-2.000000,0,1,3.083,1.489268,-0.012258
89,2026-05-16T03:11:41.612,0.795550,0.000500,-1.000000,0,1,3.081,1.489268,-0.012258
90,2026-05-16T03:11:44.604,0.795500,0.000500,-1.600000,0,1,2.922,1.489268,-0.012258
91,2026-05-16T03:11:47.884,0.795450,0.000500,-1.600000,0,1,3.204,1.489268,-0.012258
92,2026-05-16T03:11:51.041,0.795400,0.000500,-2.000000,0,1,3.084,1.489268,-0.012258
93,2026-05-16T03:11:54.213,0.795350,0.000500,-1.600000,0,1,3.117,1.489268,-0.012258
94,2026-05-16T03:11:57.458,0.795300,0.000500,-1.600000,0,1,3.191,1.489268,-0.012258
95,2026-05-16T03:12:00.612,0.795250,0.000500,-1.500000,0,1,3.097,1.489268,-0.012258
96,2026-05-16T03:12:03.832,0.795200,0.000500,-1.600000,0,1,3.162,1.489268,-0.012258
97,2026-05-16T03:12:06.996,0.795150,0.000500,-2.000000,0,1,3.108,1.489268,-0.012258
98,2026-05-16T03:12:10.203,0.795100,0.000500,-2.000000,0,1,3.132,1.489268,-0.012258
99,2026-05-16T03:12:13.231,0.795050,0.000500,-1.600000,0,1,2.950,1.489268,-0.012258
100,2026-05-16T03:12:16.496,0.795000,0.000500,-1.600000,0,1,3.198,1.489268,-0.012258
101,2026-05-16T03:12:19.412,0.794950,0.000500,-1.600000,0,1,2.860,1.489268,-0.012258
102,2026-05-16T03:12:22.681,0.794900,0.000500,-1.600000,0,1,3.212,1.489268,-0.012258
103,2026-05-16T03:12:25.834,0.794850,0.000500,-1.600000,0,1,3.097,1.489268,-0.012258
104,2026-05-16T03:12:29.082,0.794800,0.000500,-2.000000,0,1,3.179,1.489268,-0.012258
105,2026-05-16T03:12:32.219,0.794750,0.000500,-1.500000,0,1,3.079,1.489268,-0.012258
106,2026-05-16T03:12:35.415,0.794700,0.000500,-1.600000,0,1,3.126,1.489268,-0.012258
107,2026-05-16T03:12:38.630,0.794650,0.000500,-1.600000,0,1,3.157,1.489268,-0.012258
108,2026-05-16T03:12:41.781,0.794600,0.000500,-2.000000,0,1,3.095,1.489268,-0.012258
109,2026-05-16T03:12:44.914,0.794550,0.000500,-1.600000,0,1,3.073,1.489268,-0.012258
110,2026-05-16T03:12:48.063,0.794500,0.000500,-1.600000,0,1,3.095,1.489268,-0.012258
111,2026-05-16T03:12:51.312,0.794450,0.000500,-1.600000,0,1,3.187,1.489268,-0.012258
112,2026-05-16T03:12:54.318,0.794400,0.000500,-1.600000,0,1,2.914,1.489268,-0.012258
113,2026-05-16T03:12:57.487,0.794350,0.000500,-2.000000,0,1,3.090,1.489268,-0.012258
114,2026-05-16T03:13:00.698,0.794300,0.000500,-1.600000,0,1,3.143,1.489268,-0.012258
115,2026-05-16T03:13:03.628,0.794250,0.000500,-2.000000,0,1,2.860,1.489268,-0.012258
116,2026-05-16T03:13:06.834,0.794200,0.000500,-1.600000,0,1,3.123,1.489268,-0.012258
117,2026-05-16T03:13:09.995,0.794150,0.000500,-1.600000,0,1,3.089,1.489268,-0.012258
118,2026-05-16T03:13:13.134,0.794100,0.000500,-1.600000,0,1,3.076,1.489268,-0.012258
119,2026-05-16T03:13:16.152,0.794050,0.000500,-1.600000,0,1,2.945,1.489268,-0.012258
120,2026-05-16T03:13:19.370,0.794000,0.000500,-1.600000,0,1,3.150,1.489268,-0.012258
121,2026-05-16T03:13:22.389,0.793950,0.000500,-1.600000,0,1,2.945,1.489268,-0.012258
122,2026-05-16T03:13:25.514,0.793900,0.000500,-1.600000,0,1,3.061,1.489268,-0.012258
123,2026-05-16T03:13:28.657,0.793850,0.000500,-1.600000,0,1,3.080,1.489268,-0.012258
124,2026-05-16T03:13:31.896,0.793800,0.000500,-1.600000,0,1,3.176,1.489268,-0.012258
125,2026-05-16T03:13:34.883,0.793750,0.000500,-1.600000,0,1,2.917,1.489268,-0.012258
126,2026-05-16T03:13:38.281,0.793700,0.000500,-2.000000,0,1,3.316,1.489268,-0.012258
127,2026-05-16T03:13:41.546,0.793650,0.000500,-1.600000,0,1,3.210,1.489268,-0.012258
128,2026-05-16T03:13:44.586,0.793600,0.000500,-2.000000,0,1,2.981,1.489268,-0.012258
129,2026-05-16T03:13:47.616,0.793550,0.000500,-1.600000,0,1,2.962,1.489268,-0.012258
130,2026-05-16T03:13:50.746,0.793500,0.000500,-1.600000,0,1,3.077,1.489268,-0.012258
131,2026-05-16T03:13:53.923,0.793450,0.000500,-2.000000,0,1,3.123,1.489268,-0.012258
132,2026-05-16T03:13:57.072,0.793400,0.000500,-1.600000,0,1,3.085,1.489268,-0.012258
133,2026-05-16T03:14:00.334,0.793350,0.000500,-1.600000,0,1,3.200,1.489268,-0.012258
134,2026-05-16T03:14:03.561,0.793300,0.000500,-1.600000,0,1,3.162,1.489268,-0.012258
135,2026-05-16T03:14:06.750,0.793250,0.000500,-1.600000,0,1,3.135,1.489268,-0.012258
136,2026-05-16T03:14:10.159,0.793200,0.000500,-1.600000,0,1,3.344,1.489268,-0.012258
137,2026-05-16T03:14:13.336,0.793150,0.000500,-1.600000,0,1,3.087,1.489268,-0.012258
138,2026-05-16T03:14:16.506,0.793100,0.000500,-1.600000,0,1,3.109,1.489268,-0.012258
139,2026-05-16T03:14:19.729,0.793050,0.000500,-1.600000,0,1,3.144,1.489268,-0.012258
140,2026-05-16T03:14:22.896,0.793000,0.000500,-1.600000,0,1,3.081,1.489268,-0.012258
141,2026-05-16T03:14:26.126,0.792950,0.000500,-1.600000,0,1,3.173,1.489268,-0.012258
142,2026-05-16T03:14:29.522,0.792900,0.000500,-1.600000,0,1,3.323,1.489268,-0.012258
143,2026-05-16T03:14:32.646,0.792850,0.000500,-1.600000,0,1,3.067,1.489268,-0.012258
144,2026-05-16T03:14:35.786,0.792800,0.000500,-1.600000,0,1,3.082,1.489268,-0.012258
145,2026-05-16T03:14:38.968,0.792750,0.000500,-1.600000,0,1,3.098,1.489268,-0.012258
146,2026-05-16T03:14:42.147,0.792700,0.000500,-1.600000,0,1,3.109,1.489268,-0.012258
147,2026-05-16T03:14:45.331,0.792650,0.000500,-1.600000,0,1,3.124,1.489268,-0.012258
148,2026-05-16T03:14:48.580,0.792600,0.000500,-1.600000,0,1,3.188,1.489268,-0.012258
149,2026-05-16T03:14:51.657,0.792550,0.000500,-1.600000,0,1,3.010,1.489268,-0.012258
150,2026-05-16T03:14:54.882,0.792500,0.000500,-2.000000,0,1,3.167,1.489268,-0.012258
151,2026-05-16T03:14:58.083,0.792450,0.000500,-1.600000,0,1,3.140,1.489268,-0.012258
152,2026-05-16T03:15:01.313,0.792400,0.000500,-1.600000,0,1,3.167,1.489268,-0.012258
153,2026-05-16T03:15:04.306,0.792350,0.000500,-1.600000,0,1,2.924,1.489268,-0.012258
154,2026-05-16T03:15:07.465,0.792300,0.000500,-2.000000,0,1,3.072,1.489268,-0.012258
155,2026-05-16T03:15:10.747,0.792250,0.000500,-1.600000,0,1,3.201,1.489268,-0.012258
156,2026-05-16T03:15:13.727,0.792200,0.000500,-1.600000,0,1,2.924,1.489268,-0.012258
157,2026-05-16T03:15:16.696,0.792150,0.000500,-1.600000,0,1,2.910,1.489268,-0.012258
158,2026-05-16T03:15:19.700,0.792100,0.000500,-1.600000,0,1,2.922,1.489268,-0.012258
159,2026-05-16T03:15:22.868,0.792050,0.000500,-1.600000,0,1,3.077,1.489268,-0.012258
160,2026-05-16T03:15:26.032,0.792000,0.000500,-1.600000,0,1,3.084,1.489268,-0.012258
161,2026-05-16T03:15:29.180,0.791950,0.000500,-1.600000,0,1,3.074,1.489268,-0.012258
162,2026-05-16T03:15:32.332,0.791900,0.000500,-1.600000,0,1,3.098,1.489268,-0.012258
163,2026-05-16T03:15:35.490,0.791850,0.000500,-1.600000,0,1,3.087,1.489268,-0.012258
164,2026-05-16T03:15:38.729,0.791800,0.000500,-1.600000,0,1,3.166,1.489268,-0.012258
165,2026-05-16T03:15:41.902,0.791750,0.000500,-1.600000,0,1,3.115,1.489268,-0.012258
166,2026-05-16T03:15:44.929,0.791700,0.000500,-1.600000,0,1,2.961,1.489268,-0.012258
167,2026-05-16T03:15:48.064,0.791650,0.000500,-1.600000,0,1,3.074,1.489268,-0.012258
168,2026-05-16T03:15:51.313,0.791600,0.000500,-2.000000,0,1,3.185,1.489268,-0.012258
169,2026-05-16T03:15:54.320,0.791550,0.000500,-1.600000,0,1,2.932,1.489268,-0.012258
170,2026-05-16T03:15:57.534,0.791500,0.000500,-1.600000,0,1,3.129,1.489268,-0.012258
171,2026-05-16T03:16:00.705,0.791450,0.000500,-1.600000,0,1,3.109,1.489268,-0.012258
172,2026-05-16T03:16:03.900,0.791400,0.000500,-1.600000,0,1,3.098,1.489268,-0.012258
173,2026-05-16T03:16:07.071,0.791350,0.000500,-2.000000,0,1,3.092,1.489268,-0.012258
174,2026-05-16T03:16:08.897,0.791300,0.000500,-1.600000,0,1,1.737,1.489268,-0.012258
175,2026-05-16T03:16:12.098,0.791250,0.000500,-1.600000,0,1,3.140,1.489268,-0.012258
176,2026-05-16T03:16:15.245,0.791200,0.000500,-1.500000,0,1,3.082,1.489268,-0.012258
177,2026-05-16T03:16:18.502,0.791150,0.000500,-1.600000,0,1,3.200,1.489268,-0.012258
178,2026-05-16T03:16:21.722,0.791100,0.000500,-1.600000,0,1,3.142,1.489268,-0.012258
179,2026-05-16T03:16:24.972,0.791050,0.000500,-1.600000,0,1,3.191,1.489268,-0.012258
